09/22/18 19:47:49 - Criando quadras do arquivo ./temp/tmp/35503081500_face.shp
ID: 26657909. Nao foi possivel criar a face.
ID: 26657909. Nao foi possivel criar a face.
ID: 26657909. Nao foi possivel criar a face.
ID: 26657909. Nao foi possivel criar a face.
ID: 26657909. Nao foi possivel criar a face.
ID: 26659172. Nao foi possivel criar a face.
ID: 26659172. Nao foi possivel criar a face.
ID: 26655931. Nao foi possivel criar a face.
ID: 26655931. Nao foi possivel criar a face.
ID: 26655931. Nao foi possivel criar a face.
ID: 26655943. Nao foi possivel criar a face.
ID: 26658746. Nao foi possivel criar a face.
ID: 26659045. Nao foi possivel criar a face.
ID: 26659045. Nao foi possivel criar a face.
ID: 26658761. Nao foi possivel criar a face.
ID: 26658761. Nao foi possivel criar a face.
ID: 26658165. Nao foi possivel criar a face.
ID: 26658167. Nao foi possivel criar a face.
ID: 26658169. Nao foi possivel criar a face.
ID: 26658169. Nao foi possivel criar a face.
ID: 26658169. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
ID: 26657572. Nao foi possivel criar a face.
